status,reason,customer_id,razon_social,cuit,cuit_bejerman,cod_empresa_actual,cod_empresa_bejerman,razon_social_bejerman,locales_con_mismo_cuit,bejerman_con_mismo_cuit
skipped,Cliente sin CUIT local.,1,MIGRACION,,,,,,0,0
already_synced,El código Bejerman ya coincide.,2,ACUDIR,30708060980,30708060980,ACU,ACU,ACUDIR S.A.,1,1
skipped,El cod_empresa local no existe en Bejerman.,3,AC 24,,,ACV,,,0,0
already_synced,El código Bejerman ya coincide.,4,RESPIROXS,30711360804,30711360804,REX,REX,RESPIROXS S.R.L.,1,1
already_synced,El código Bejerman ya coincide.,5,PERELETEGUI ADRIAN MATIAS,23331795739,23331795739,CPAP,CPAP,PERELETEGUI ADRIAN MATIAS,1,1
skipped,El cod_empresa local no existe en Bejerman.,6,AERORUTAS,,,AER,,,0,0
skipped,No se encontró cliente Bejerman con ese CUIT.,7,OUBIÑA ALBERTO,33708607989,,AGO,,,1,0
updated,cod_empresa actualizado por CUIT exacto.,8,AIRMED S.R.L.,30500852131,30500852131,air,AIR,AIR LIQUIDE ARGENTINA S A,1,1
already_synced,El código Bejerman ya coincide.,9,ALCLA,30519511351,30519511351,ALCLA,ALCLA,ALCLA S.A.C.I.F.I.Y.A.,1,1
skipped,El cod_empresa local no existe en Bejerman.,10,CLINICA ALFA,,,ALF,,,0,0
skipped,El cod_empresa local no existe en Bejerman.,11,AMBULANCIAS LA GUARDIA,,,ALG,,,0,0
skipped,El cod_empresa local no existe en Bejerman.,12,NOVAMED S.A.,,,ame,,,0,0
skipped,El cod_empresa local no existe en Bejerman.,13,AMTA,,,AMT,,,0,0
skipped,El cod_empresa local no existe en Bejerman.,14,ANDREOLI EDUARDO GABRIEL,,,AND,,,0,0
skipped,El cod_empresa local no existe en Bejerman.,15,ORTOPEDIA ANTUNEZ,,,ANT,,,0,0
skipped,El cod_empresa local no existe en Bejerman.,16,MARCELOS ARCOS,,,ARC,,,0,0
already_synced,El código Bejerman ya coincide.,17,ARGENTINA DE GASES S.A.,30645416933,30645416933,ARG,ARG,ARGENLAB S R L,1,1
skipped,El cod_empresa local no existe en Bejerman.,18,ARIEL YACOBONE,,,ARI,,,0,0
skipped,El cod_empresa local no existe en Bejerman.,19,Ata equipamientos medicos,,,ata,,,0,0
already_synced,El código Bejerman ya coincide.,20,OXIGENOTERAPIA AVELLANEDA,30711031061,30711031061,AVE,AVE,OXIGENOTERAPIA AVELLANEDA S.A.,1,1
skipped,El cod_empresa local no existe en Bejerman.,21,AVIL SALUD SRL,,,AVI,,,0,0
skipped,El cod_empresa local no existe en Bejerman.,22,AYRES SALUD S.R.L.,,,AYR,,,0,0
skipped,El cod_empresa local no existe en Bejerman.,23,BIOMEDICAL CARE SUR S.A.S.,,,BIM,,,0,0
updated,cod_empresa actualizado por CUIT exacto.,24,BIOMEDICAL S.A.,30689208459,30689208459,bio,BIO,BIOMEDICAL S.A.,1,1
skipped,El cod_empresa local no existe en Bejerman.,25,BIOTRUST SERVICES TECHNOLOGY S.A,,,bit,,,0,0
skipped,El cod_empresa local no existe en Bejerman.,26,BM MEDICAL,,,BMM,,,0,0
skipped,El cod_empresa local no existe en Bejerman.,27,BRAHIM JUAN MANUEL,,,BRA,,,0,0
skipped,El cod_empresa local no existe en Bejerman.,28,CARE S.A.,,,CAR,,,0,0
skipped,El cod_empresa local no existe en Bejerman.,29,CENTRO GALLEGO,,,CEG,,,0,0
skipped,El cod_empresa local no existe en Bejerman.,30,CELSO,,,CEL,,,0,0
skipped,El cod_empresa local no existe en Bejerman.,31,MERNO S.A.,,,CEN,,,0,0
skipped,El cod_empresa local no existe en Bejerman.,32,CIRUGIA INSUMOS MEDICOS,,,CIM,,,0,0
skipped,El cod_empresa local no existe en Bejerman.,33,CI PAR,,,CIP,,,0,0
skipped,El cod_empresa local no existe en Bejerman.,34,CLINICA BASILEA SA,,,CLI,,,0,0
skipped,No se encontró cliente Bejerman con ese CUIT.,35,CENTRO MEDICO AMENABAR SRL,30707612971,,CMA,,,2,0
skipped,El cod_empresa local no existe en Bejerman.,36,CLINICA MODELO DE MORON,,,CMM,,,0,0
already_synced,El código Bejerman ya coincide.,37,COCUZZA,30718242157,30718242157,COC,COC,1170 COCUZZA S.R.L.,1,1
skipped,El cod_empresa local no existe en Bejerman.,38,INSTITUTO COGHLAN SRL,,,COG,,,0,0
skipped,El cod_empresa local no existe en Bejerman.,39,FERNANDO COLUCCI,,,COL,,,0,0
skipped,El cod_empresa local no existe en Bejerman.,40,CORREA GUILLERMO,,,COR,,,0,0
skipped,El cod_empresa local no existe en Bejerman.,41,CLINICA PRIVADA ALCORTA,,,CPA,,,0,0
skipped,El cod_empresa local no existe en Bejerman.,42,CLINICA PRIVADA M. TACHELLA,,,CPT,,,0,0
skipped,El cod_empresa local no existe en Bejerman.,43,CLINICA CRUZ CELESTE,,,CRU,,,0,0
skipped,El cod_empresa local no existe en Bejerman.,44,CLINICA SANTA CATALINA,,,CSC,,,0,0
skipped,El cod_empresa local no existe en Bejerman.,45,SANATORIO PRIVADO SAN MAURICIO,,,CSM,,,0,0
skipped,El cod_empresa local no existe en Bejerman.,46,CENTRO DE SALUD NORTE,,,CSN,,,0,0
skipped,El cod_empresa local no existe en Bejerman.,47,CUIDA AVEDIS,,,CUI,,,0,0
skipped,El cod_empresa local no existe en Bejerman.,48,MEDICUS SA.. DE ASISTENCIA MED. Y CIENT.,,,CUS,,,0,0
already_synced,El código Bejerman ya coincide.,49,C Y G,30709434930,30709434930,CYG,CYG,C Y G MEDICINAL SRL,1,1
skipped,El cod_empresa local no existe en Bejerman.,50,CLINICA ZAPALA,,,CZA,,,0,0
skipped,El cod_empresa local no existe en Bejerman.,51,DAVID CORTEZ,,,DAV,,,0,0
skipped,El cod_empresa local no existe en Bejerman.,52,DIEGO AYALA,,,DAY,,,0,0
skipped,El cod_empresa local no existe en Bejerman.,53,DEALER MEDICA,,,DEM,,,0,0
skipped,El cod_empresa local no existe en Bejerman.,54,GRIFFO DAMIAN,,,DGR,,,0,0
already_synced,El código Bejerman ya coincide.,55,DIAGNOSTIC MEDIC,30708155795,30708155795,DIA,DIA,DIAGNOSTIC MEDIC S.A.,1,1
skipped,El cod_empresa local no existe en Bejerman.,56,DISTRIBUIDORA MEDICA,,,DIM,,,0,0
already_synced,El código Bejerman ya coincide.,57,DRE LUIS,20124330425,20124330425,DRE,DRE,DRE LUIS EROS,1,1
skipped,El cod_empresa local no existe en Bejerman.,58,DOMICILIO SALUD,,,DSL,,,0,0
skipped,El cod_empresa local no existe en Bejerman.,59,DUZZI EDUARDO,,,DUZ,,,0,0
already_synced,El código Bejerman ya coincide.,60,EDUARDO THIERY,20149334239,20149334239,EDU,EDU,ANDREOLI EDUARDO GABRIEL,1,1
